# WISIPAY PROVIDER RESPONSE LOG (SAMPLE / DUMMY DATA — FOR ASSESSMENT USE ONLY)
# This file contains the raw response received from the payment provider for each
# transaction attempt. Every row in transactions.log that triggers a provider call
# should have a corresponding entry here.
#
# Format per line:
#   TIMESTAMP | TXN_ID=... | PROVIDER=... | PROVIDER_REF=... | RESP_CODE=... | RESP_MSG=... | LATENCY_MS=...
#
# Fields:
#   PROVIDER      — Payment gateway / bank that processed the request
#   PROVIDER_REF  — Provider's own transaction reference number
#   RESP_CODE     — Raw HTTP-style or provider-specific numeric response code
#   RESP_MSG      — Raw message string returned by the provider
#   LATENCY_MS    — Round-trip time in milliseconds between WisiPay and the provider
#
# PROVIDER CODES USED:
#   RAZORPAY   = Razorpay Payment Gateway
#   PAYU       = PayU Money Gateway
#   HDFC_PG    = HDFC Bank Payment Gateway
#   NPCI_UPI   = NPCI UPI Rails (direct)
#   AXIS_PG    = Axis Bank Payment Gateway
#   ICICI_PG   = ICICI Bank Payment Gateway
#   KOTAK_PG   = Kotak Mahindra Bank Payment Gateway
#
# NOTE: RESP_CODE 200 = success, 202 = accepted/pending, 400 = bad request,
#       401 = auth failure, 402 = limit exceeded, 403 = blocked/fraud,
#       408 = timeout, 500 = provider internal error, 502 = bad gateway,
#       503 = service unavailable

# ─── 2026-05-01 ──────────────────────────────────────────────────────────────
2026-05-01T09:12:04Z | TXN_ID=TXN10001 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260501091201 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=312
2026-05-01T11:45:20Z | TXN_ID=TXN10011 | PROVIDER=HDFC_PG   | PROVIDER_REF=HDFC260501114518 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=290
2026-05-01T12:01:38Z | TXN_ID=TXN10012 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260501120135 | RESP_CODE=202 | RESP_MSG=Pending - awaiting bank confirmation           | LATENCY_MS=580
2026-05-01T12:10:03Z | TXN_ID=TXN10012 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260501120135 | RESP_CODE=402 | RESP_MSG=Insufficient funds in source account           | LATENCY_MS=410
2026-05-01T12:22:49Z | TXN_ID=TXN10013 | PROVIDER=ICICI_PG  | PROVIDER_REF=ICICI26050112224  | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=345
2026-05-01T12:40:12Z | TXN_ID=TXN10014 | PROVIDER=RAZORPAY  | PROVIDER_REF=RZP20260501124010 | RESP_CODE=400 | RESP_MSG=Self-transfer not permitted                   | LATENCY_MS=210
2026-05-01T13:05:34Z | TXN_ID=txn10015 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260501130532 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=298
2026-05-01T13:20:08Z | TXN_ID=TXN10016 | PROVIDER=KOTAK_PG  | PROVIDER_REF=KOTK260501132006 | RESP_CODE=202 | RESP_MSG=Pending - awaiting bank confirmation           | LATENCY_MS=670
2026-05-01T13:41:00Z | TXN_ID=TXN10017 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260501134058 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=305
2026-05-01T13:58:22Z | TXN_ID=TXN10018 | PROVIDER=HDFC_PG   | PROVIDER_REF=HDFC260501135820 | RESP_CODE=400 | RESP_MSG=Beneficiary account not found or closed        | LATENCY_MS=370
2026-05-01T14:10:46Z | TXN_ID=TXN10019 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260501141044 | RESP_CODE=202 | RESP_MSG=Pending - awaiting bank confirmation           | LATENCY_MS=590
2026-05-01T14:35:03Z | TXN_ID=TXN10020 | PROVIDER=ICICI_PG  | PROVIDER_REF=ICICI26050114350  | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=315

# ─── 2026-05-02 ──────────────────────────────────────────────────────────────
2026-05-02T08:05:12Z | TXN_ID=TXN10021 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260502080510 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=290
2026-05-02T08:17:35Z | TXN_ID=TXN10022 | PROVIDER=RAZORPAY  | PROVIDER_REF=RZP20260502081733 | RESP_CODE=408 | RESP_MSG=Request timed out; no response from bank      | LATENCY_MS=5002
2026-05-02T08:19:02Z | TXN_ID=TXN10022 | PROVIDER=RAZORPAY  | PROVIDER_REF=RZP20260502081900 | RESP_CODE=408 | RESP_MSG=Retry attempt 1: request timed out            | LATENCY_MS=4988
2026-05-02T08:20:46Z | TXN_ID=TXN10022 | PROVIDER=RAZORPAY  | PROVIDER_REF=RZP20260502082044 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=812
2026-05-02T08:33:10Z | TXN_ID=TXN10023 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260502083308 | RESP_CODE=402 | RESP_MSG=Daily limit of INR 25000 exceeded for user    | LATENCY_MS=420
2026-05-02T08:45:23Z | TXN_ID=TXN10024 | PROVIDER=KOTAK_PG  | PROVIDER_REF=KOTK260502084521 | RESP_CODE=202 | RESP_MSG=Pending - awaiting bank confirmation           | LATENCY_MS=550
2026-05-02T08:47:06Z | TXN_ID=TXN10024 | PROVIDER=KOTAK_PG  | PROVIDER_REF=KOTK260502084521 | RESP_CODE=202 | RESP_MSG=Compliance check initiated; transaction held   | LATENCY_MS=220
2026-05-02T09:01:59Z | TXN_ID=TXN10025 | PROVIDER=HDFC_PG   | PROVIDER_REF=               | RESP_CODE=400 | RESP_MSG=Bad request: amount field is null or missing   | LATENCY_MS=85
2026-05-02T09:15:31Z | TXN_ID=TXN10026 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260502091529 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=275
2026-05-02T09:28:48Z | TXN_ID=TXN10027 | PROVIDER=ICICI_PG  | PROVIDER_REF=ICICI26050209284  | RESP_CODE=403 | RESP_MSG=Transaction blocked by fraud detection engine  | LATENCY_MS=190
2026-05-02T09:45:13Z | TXN_ID=TXN10028 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260502094511 | RESP_CODE=202 | RESP_MSG=Pending - awaiting bank confirmation           | LATENCY_MS=600
2026-05-02T10:02:34Z | TXN_ID=TXN10028 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260502094511 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=325
2026-05-02T10:14:10Z | TXN_ID=TXN10029 | PROVIDER=RAZORPAY  | PROVIDER_REF=RZP20260502101408 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=340
2026-05-02T10:30:56Z | TXN_ID=TXN10030 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260502103054 | RESP_CODE=500 | RESP_MSG=Internal server error; transaction not processed | LATENCY_MS=3750
2026-05-02T10:32:11Z | TXN_ID=TXN10030 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260502103209 | RESP_CODE=500 | RESP_MSG=Retry attempt 1: internal server error        | LATENCY_MS=3810
2026-05-02T10:35:03Z | TXN_ID=TXN10030 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260502103501 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=410
2026-05-02T10:50:19Z | TXN_ID=TXN10031 | PROVIDER=HDFC_PG   | PROVIDER_REF=               | RESP_CODE=400 | RESP_MSG=Bad request: unsupported currency USD          | LATENCY_MS=92
2026-05-02T11:05:45Z | TXN_ID=TXN10032 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260502110543 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=285
2026-05-02T11:22:38Z | TXN_ID=TXN10033 | PROVIDER=KOTAK_PG  | PROVIDER_REF=KOTK260502112236 | RESP_CODE=401 | RESP_MSG=Authentication failed; invalid API credentials | LATENCY_MS=155
2026-05-02T11:40:02Z | TXN_ID=TXN10034 | PROVIDER=ICICI_PG  | PROVIDER_REF=ICICI26050211400  | RESP_CODE=202 | RESP_MSG=Transaction flagged; held for manual review    | LATENCY_MS=230
2026-05-02T12:00:30Z | TXN_ID=TXN10035 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260502120028 | RESP_CODE=202 | RESP_MSG=Provider under maintenance; retry scheduled    | LATENCY_MS=705
2026-05-02T12:18:45Z | TXN_ID=TXN10035 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260502121843 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=310
2026-05-02T12:35:07Z | TXN_ID=TXN10036 | PROVIDER=RAZORPAY  | PROVIDER_REF=RZP20260502123505 | RESP_CODE=400 | RESP_MSG=Beneficiary account not found or closed        | LATENCY_MS=375
2026-05-02T12:52:20Z | TXN_ID=TXN10037 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260502125218 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=295
2026-05-02T13:10:34Z | TXN_ID=TXN10038 | PROVIDER=HDFC_PG   | PROVIDER_REF=HDFC260502131032 | RESP_CODE=402 | RESP_MSG=Insufficient funds in source account           | LATENCY_MS=405
2026-05-02T13:28:51Z | TXN_ID=TXN10039 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260502132849 | RESP_CODE=408 | RESP_MSG=Request timed out; no response from bank      | LATENCY_MS=5001
2026-05-02T13:30:23Z | TXN_ID=TXN10039 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260502133021 | RESP_CODE=408 | RESP_MSG=Retry attempt 1: request timed out            | LATENCY_MS=5003
2026-05-02T13:32:48Z | TXN_ID=TXN10039 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260502133246 | RESP_CODE=408 | RESP_MSG=Retry attempt 2: request timed out; aborting  | LATENCY_MS=5000
2026-05-02T13:45:16Z | TXN_ID=TXN10040 | PROVIDER=KOTAK_PG  | PROVIDER_REF=KOTK260502134514 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=330

# ─── 2026-05-03 ──────────────────────────────────────────────────────────────
2026-05-03T09:00:08Z | TXN_ID=TXN10041 | PROVIDER=ICICI_PG  | PROVIDER_REF=ICICI26050309000  | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=305
2026-05-03T09:14:23Z | TXN_ID=TXN10042 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260503091421 | RESP_CODE=502 | RESP_MSG=Bad gateway: upstream bank did not respond     | LATENCY_MS=4200
2026-05-03T09:16:06Z | TXN_ID=TXN10042 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260503091604 | RESP_CODE=502 | RESP_MSG=Retry attempt 1: bad gateway                  | LATENCY_MS=3980
2026-05-03T09:18:31Z | TXN_ID=TXN10042 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260503091829 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=342
2026-05-03T09:30:49Z | TXN_ID=TXN10043 | PROVIDER=RAZORPAY  | PROVIDER_REF=RZP20260503093047 | RESP_CODE=202 | RESP_MSG=Compliance check initiated; transaction held   | LATENCY_MS=260
2026-05-03T10:15:01Z | TXN_ID=TXN10043 | PROVIDER=RAZORPAY  | PROVIDER_REF=RZP20260503093047 | RESP_CODE=202 | RESP_MSG=Manual review required; transaction on hold    | LATENCY_MS=180
2026-05-03T09:55:32Z | TXN_ID=TXN10044 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260503095530 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=315
2026-05-03T10:10:20Z | TXN_ID=TXN10045 | PROVIDER=HDFC_PG   | PROVIDER_REF=               | RESP_CODE=400 | RESP_MSG=Missing or invalid beneficiary account number  | LATENCY_MS=88
2026-05-03T10:22:45Z | TXN_ID=TXN10046 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260503102243 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=272
2026-05-03T10:40:04Z | TXN_ID=TXN10047 | PROVIDER=KOTAK_PG  | PROVIDER_REF=KOTK260503104002 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=308
2026-05-03T11:00:56Z | TXN_ID=TXN10048 | PROVIDER=ICICI_PG  | PROVIDER_REF=ICICI26050311005  | RESP_CODE=402 | RESP_MSG=Insufficient funds in source account           | LATENCY_MS=395
2026-05-03T11:18:38Z | TXN_ID=TXN10049 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260503111836 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=310
2026-05-03T11:35:23Z | TXN_ID=TXN10050 | PROVIDER=RAZORPAY  | PROVIDER_REF=RZP20260503113521 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=295
2026-05-03T11:52:10Z | TXN_ID=TXN10051 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260503115208 | RESP_CODE=202 | RESP_MSG=Pending - awaiting bank confirmation           | LATENCY_MS=560
2026-05-03T12:10:45Z | TXN_ID=TXN10051 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260503115208 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=318
2026-05-03T12:25:59Z | TXN_ID=TXN10052 | PROVIDER=HDFC_PG   | PROVIDER_REF=HDFC260503122557 | RESP_CODE=503 | RESP_MSG=Service temporarily unavailable; try later     | LATENCY_MS=2100
2026-05-03T12:27:31Z | TXN_ID=TXN10052 | PROVIDER=HDFC_PG   | PROVIDER_REF=HDFC260503122729 | RESP_CODE=503 | RESP_MSG=Retry attempt 1: service unavailable           | LATENCY_MS=2050
2026-05-03T12:30:16Z | TXN_ID=TXN10052 | PROVIDER=HDFC_PG   | PROVIDER_REF=HDFC260503123014 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=301
2026-05-03T12:48:04Z | TXN_ID=TXN10053 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260503124802 | RESP_CODE=403 | RESP_MSG=Transaction blocked by fraud detection engine  | LATENCY_MS=185
2026-05-03T13:05:18Z | TXN_ID=TXN10054 | PROVIDER=KOTAK_PG  | PROVIDER_REF=KOTK260503130516 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=322

# ─── 2026-05-04 ──────────────────────────────────────────────────────────────
2026-05-04T08:10:45Z | TXN_ID=TXN10055 | PROVIDER=ICICI_PG  | PROVIDER_REF=ICICI26050408104  | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=295
2026-05-04T08:28:20Z | TXN_ID=TXN10056 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260504082818 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=310
2026-05-04T08:45:03Z | TXN_ID=TXN10057 | PROVIDER=RAZORPAY  | PROVIDER_REF=RZP20260504084501 | RESP_CODE=402 | RESP_MSG=Monthly limit of INR 100000 exceeded for user | LATENCY_MS=395
2026-05-04T09:00:39Z | TXN_ID=TXN10058 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260504090037 | RESP_CODE=408 | RESP_MSG=Request timed out; no response from bank      | LATENCY_MS=5001
2026-05-04T09:02:11Z | TXN_ID=TXN10058 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260504090209 | RESP_CODE=408 | RESP_MSG=Retry attempt 1: request timed out            | LATENCY_MS=4999
2026-05-04T09:04:56Z | TXN_ID=TXN10058 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260504090454 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=640
2026-05-04T09:20:14Z | TXN_ID=TXN10059 | PROVIDER=HDFC_PG   | PROVIDER_REF=HDFC260504092012 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=285
2026-05-04T09:38:48Z | TXN_ID=TXN10060 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260504093846 | RESP_CODE=401 | RESP_MSG=Authentication failed; user token expired     | LATENCY_MS=148
2026-05-04T09:50:30Z | TXN_ID=TXN10061 | PROVIDER=KOTAK_PG  | PROVIDER_REF=KOTK260504095028 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=318
2026-05-04T10:05:45Z | TXN_ID=TXN10062 | PROVIDER=ICICI_PG  | PROVIDER_REF=ICICI26050410054  | RESP_CODE=202 | RESP_MSG=Provider under maintenance; retry scheduled    | LATENCY_MS=690
2026-05-04T10:22:19Z | TXN_ID=TXN10062 | PROVIDER=ICICI_PG  | PROVIDER_REF=ICICI26050410221  | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=305
2026-05-04T10:40:56Z | TXN_ID=TXN10063 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260504104054 | RESP_CODE=400 | RESP_MSG=Beneficiary account not found or closed        | RESP_MSG=2=F311 | LATENCY_MS=360
2026-05-04T10:58:31Z | TXN_ID=TXN10064 | PROVIDER=RAZORPAY  | PROVIDER_REF=RZP20260504105829 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=330
2026-05-04T11:15:10Z | TXN_ID=TXN10065 | PROVIDER=PAYU      | PROVIDER_REF=PAYU260504111508 | RESP_CODE=202 | RESP_MSG=Transaction flagged; held for manual review    | LATENCY_MS=245
2026-05-04T11:32:48Z | TXN_ID=TXN10066 | PROVIDER=HDFC_PG   | PROVIDER_REF=HDFC260504113246 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=300
2026-05-04T11:50:05Z | TXN_ID=TXN10067 | PROVIDER=NPCI_UPI  | PROVIDER_REF=UPI20260504115003 | RESP_CODE=402 | RESP_MSG=Insufficient funds in source account           | LATENCY_MS=410
2026-05-04T12:08:34Z | TXN_ID=TXN10068 | PROVIDER=KOTAK_PG  | PROVIDER_REF=KOTK260504120832 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=295
2026-05-04T12:25:18Z | TXN_ID=TXN10069 | PROVIDER=ICICI_PG  | PROVIDER_REF=ICICI26050412251  | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=312
2026-05-04T12:43:01Z | TXN_ID=TXN10070 | PROVIDER=AXIS_PG   | PROVIDER_REF=AXIS260504124259 | RESP_CODE=200 | RESP_MSG=Transaction successful                        | LATENCY_MS=288
